license_number,company_name,company_dba,license_classification,issued_date,naics_code,naics_name,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu,company_name_clean,company_dba_clean,search_name
GBL-0323-19894,The Kroger Company/Centennial Farms Dairy,,Manufacturing,2025-06-12 09:11:08.000,311511.0,Fluid Milk Manufacturing ,,2121 Faulkner,,RD,NE,,Atlanta ,GA,30324,2121 Faulkner nan RD Atlanta  GA 30324,"2121 Faulkner Rd NE, Atlanta, Georgia, 30324",-84.359017593953,33.813839482057,False,District 6,F,the kroger company/centennial farms dairy,,the kroger company/centennial farms dairy 
GBL-0525-40107,"Whole Foods Market Group, Inc.",,"Admin, Support, Waste Mgt & Remediation Svc",2025-06-24 07:53:00.000,561110.0,Office Administrative Services,,1197 Peachtree,,ST,NE,400,Atlanta,GA,30361,1197 Peachtree nan ST Atlanta GA 30361,"1197 Peachtree St NE, Atlanta, Georgia, 30361",-84.382156340583,33.78738661473,False,District 6,E,"whole foods market group, inc.",,"whole foods market group, inc. "
LGB-078535-2020,TARGET STORES T-1197,,Retail Trade,2025-04-03 14:48:45.000,452319.0,All Other General Merchandise Stores ,,3535,PEACHTREE,RD,NE,,ATLANTA,GA,30326,3535 PEACHTREE RD ATLANTA GA 30326,"3535 Peachtree Rd NE, Atlanta, Georgia, 30326",-84.359775737096,33.851013599826,False,District 7,B,target stores t-1197,,target stores t-1197 
LGB-110025-2020,TARGET CORPORATION,TARGET STORE T-1964,Retail Trade,2025-04-03 14:49:43.000,452319.0,All Other General Merchandise Stores ,,1275,CAROLINE,ST,NE,,ATLANTA,GA,30307,1275 CAROLINE ST ATLANTA GA 30307,"1275 Caroline St NE, Atlanta, Georgia, 30307",-84.346103176636,33.756762199922,False,District 5,O,target corporation,target store t-1964,target corporation target store t-1964
LGB-124164-2020,TARGET CORPORATION,TARGET STORE T-2171,Retail Trade,2025-04-03 14:50:39.000,452319.0,All Other General Merchandise Stores ,,2539,PIEDMONT,RD,NE,,ATLANTA,GA,30324,2539 PIEDMONT RD ATLANTA GA 30324,"2539 Piedmont Rd NE, Atlanta, Georgia, 30324",-84.363468133082,33.82452779162,False,District 6,B,target corporation,target store t-2171,target corporation target store t-2171
LGB-129731-2020,TARGET CORPORATION,TARGET STORE T-2137,Retail Trade,2025-04-03 14:50:08.000,452319.0,All Other General Merchandise Stores ,,375,18TH,ST,NW,,ATLANTA,GA,30363,375 18TH ST ATLANTA GA 30363,"375 18th St NW, Atlanta, Georgia, 30363",-84.399421971477,33.793079980553,False,District 3,E,target corporation,target store t-2137,target corporation target store t-2137
LGB-162384-2020,PIGGLY WIGGLY,,Retail Trade,2025-05-21 23:05:18.203,424410.0,General Line Grocery Merchant Wholesalers ,,1257,MORELAND,AVE,SE,,ATLANTA,GA,30316,1257 MORELAND AVE ATLANTA GA 30316,"1257 Moreland Ave SE, Atlanta, Georgia, 30316",-84.35031089203,33.720116267782,False,District 1,W,piggly wiggly,,piggly wiggly 
LGB-174736-2020,TARGET OPTICAL #4817,,Health Care & Social Assistance,2025-03-11 23:03:00.807,621320.0,Offices of Optometrists,,375,18TH,ST,NW,,ATLANTA,GA,30363,375 18TH ST ATLANTA GA 30363,"375 18th St NW, Atlanta, Georgia, 30363",-84.399421971477,33.793079980553,False,District 3,E,target optical #4817,,target optical #4817 
LGB-180284-2020,TARGET OPTICAL #9672,,Retail Trade,2025-03-12 23:18:28.233,453998.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,,1275,CAROLINE,ST,NE,,ATLANTA,GA,30307,1275 CAROLINE ST ATLANTA GA 30307,"1275 Caroline St NE, Atlanta, Georgia, 30307",-84.346103176636,33.756762199922,False,District 5,O,target optical #9672,,target optical #9672 
GBL-0222-09794,"Simply Organic Market, Inc.",,Retail Trade,2025-02-13 16:03:58.000,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,759 Dill Avenue,,,,,Atlanta,GA,30310,759 Dill Avenue nan nan Atlanta GA 30310,"759 Dill Ave SW, Atlanta, Georgia, 30310",-84.412666971056,33.718433013986,True,12,X,"simply organic market, inc.",,"simply organic market, inc. "
GBL-0222-10205,Pittsburgh Community Market,,"Arts, Entertainment & Recreation",2025-02-15 19:07:21.830,445110.0,Supermarkets and Other Grocery (except Convenience) Stores ,,352 University Avenue Sw Atlanta Ga 30310,,,,,,,,352 University Avenue Sw Atlanta Ga 30310 nan nan nan nan nan,"352 University Ave SW, Atlanta, Georgia, 30310",-84.399771580659,33.721187139731,True,12,V,pittsburgh community market,,pittsburgh community market 
