license_number,company_name,company_dba,license_classification,issued_date,naics_code,naics_name,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu,company_name_clean,company_dba_clean,search_name
GBL-0622-14295,Meats to Sweets Corp,,Accommodation and Food Services,2025-02-15 19:03:06.737,445299.0,All Other Specialty Food Stores ,,2080 Defoor Ave,,,,210,Atlanta,GA,30318,2080 Defoor Ave nan nan Atlanta GA 30318,"2080 Defoor Ave NW, Atlanta, Georgia, 30318",-84.426307596465,33.812096507201,False,9,D,meats to sweets corp,,meats to sweets corp 
GBL-0622-14670,"Capella Cheese, LLC",Capella Cheese,Retail Trade,2025-02-13 09:08:59.133,445299.0,All Other Specialty Food Stores ,,"255 Ottley Drive, #110",,,,,Atlanta,GA,30324,"255 Ottley Drive, #110 nan nan Atlanta GA 30324","255 Ottley Dr NE, Suite 110, Atlanta, Georgia, 30324",-84.378527479423,33.810791277239,False,6,E,"capella cheese, llc",capella cheese,"capella cheese, llc capella cheese"
GBL-0623-21356,AK OZSAI Group LLC,Food Mart,Retail Trade,2025-02-19 23:09:35.193,445120.0,Convenience Stores ,,1570 Ralph David Abernathy Blvd. SW,,,,,Atlanta,GA,30310,1570 Ralph David Abernathy Blvd. SW nan nan Atlanta GA 30310,"1570 Ralph David Abernathy Blvd SW, Atlanta, Georgia, 30310",-84.438997462596,33.744057749279,False,10,T,ak ozsai group llc,food mart,ak ozsai group llc food mart
GBL-0623-21399,"A & M Super Thrift Food Mart, LLC",,Accommodation and Food Services,2025-01-24 11:05:41.130,445120.0,Convenience Stores ,,2079,JOSEPH E BOONE,Boulevard,NW,,Atlanta,GA,,2079 JOSEPH E BOONE Boulevard Atlanta GA nan,"2079 Joseph E Boone Blvd NW, Atlanta, Georgia, 30314",-84.456308355767,33.764023987466,True,3,J,"a & m super thrift food mart, llc",,"a & m super thrift food mart, llc "
GBL-0624-31340,"Framebridge Retail Stores, LLC",,Retail Trade,2025-02-14 15:05:42.953,452319.0,All Other General Merchandise Stores ,,3400 Around Lenox Road,,,NE,Suite 206A,Atlanta,GA,30326,3400 Around Lenox Road nan nan Atlanta GA 30326,"3400 Around Lenox Rd NE, Atlanta, Georgia, 30326",-84.365146944469,33.84638963912,False,7,B,"framebridge retail stores, llc",,"framebridge retail stores, llc "
GBL-0624-31369,"Framebridge, Inc.",,Retail Trade,2025-02-14 15:10:13.673,452319.0,All Other General Merchandise Stores ,,1198,HOWELL MILL,Road,NW,,Atlanta,GA,,1198 HOWELL MILL Road Atlanta GA nan,"1198 Howell Mill Rd NW, Atlanta, Georgia, 30318",-84.412203787087,33.786734628392,False,9,D,"framebridge, inc.",,"framebridge, inc. "
GBL-0624-31707,IBRE FOOD MART LLC,,Retail Trade,2025-02-02 15:35:01.263,445120.0,Convenience Stores ,,1623 Memorial,,DR,SE,,ATLANTA,GA,30317,1623 Memorial nan DR ATLANTA GA 30317,"1623 Memorial Dr SE, Atlanta, Georgia, 30317",-84.334260134182,33.747200460055,False,5,O,ibre food mart llc,,ibre food mart llc 
GBL-0722-14986,Rosh & Mit Inc,Dixie News,Retail Trade,2025-02-12 17:04:24.170,445120.0,Convenience Stores ,,13,Decatur,ST,SE,,Atlanta,GA,30303,13 Decatur ST Atlanta GA 30303,"13 Decatur St SE, Atlanta, Georgia, 30303",-84.389591004881,33.753717012589,False,2,M,rosh & mit inc,dixie news,rosh & mit inc dixie news
GBL-0724-31838,288 RIZ ATLANTA INC,PIT STOP,Other Services except Public Administration,2025-01-21 10:51:17.603,445120.0,Convenience Stores ,,288 RALPH DAVID ABERNATHY BLVD,,,,,ATLANTA,GA,30312,288 RALPH DAVID ABERNATHY BLVD nan nan ATLANTA GA 30312,"288 Ralph David Abernathy Blvd SW, Atlanta, Georgia, 30312",-84.397431604749,33.736594167415,True,4,V,288 riz atlanta inc,pit stop,288 riz atlanta inc pit stop
GBL-0821-05719,"Faiz & Friends, Inc.",Henry's Pack N Sack,Retail Trade,2025-02-11 17:23:58.890,445120.0,Convenience Stores ,,1167,JOSEPH E BOONE,BLVD,NW,,Atlanta,GA,,1167 JOSEPH E BOONE BLVD Atlanta GA nan,"1167 Joseph E Boone Blvd NW, Atlanta, Georgia, 30314",-84.425680630107,33.763813224511,True,3,K,"faiz & friends, inc.",henry's pack n sack,"faiz & friends, inc. henry's pack n sack"
GBL-0821-05719,"Faiz & Friends, Inc.",Henry's Pack N Sack,Retail Trade,2025-02-11 17:23:58.890,445120.0,Convenience Stores ,,1167,JOSEPH E BOONE,BLVD,NW,,Atlanta,GA,,1167 JOSEPH E BOONE BLVD Atlanta GA nan,"1167 Joseph E Boone Blvd NW, Atlanta, Georgia, 30314",-84.425680630107,33.763813224511,True,3,K,"faiz & friends, inc.",henry's pack n sack,"faiz & friends, inc. henry's pack n sack"
GBL-0822-15756,"Mamun US Investment, LLC",Lowrey Food Mart,Retail Trade,2025-02-24 23:05:34.233,445120.0,Convenience Stores ,,644 Joseph E Lowrey Blvd Atlanta Georgia 30318,,,,,,,,644 Joseph E Lowrey Blvd Atlanta Georgia 30318 nan nan nan nan nan,"644 Joseph E Lowery Blvd NW, Atlanta, Georgia, 30318",-84.417835839287,33.772354677214,True,3,K,"mamun us investment, llc",lowrey food mart,"mamun us investment, llc lowrey food mart"
GBL-0823-22475,SYLVAN 2023 INC,SYLVAN FOOD MART,Retail Trade,2025-01-07 09:06:02.640,445120.0,Convenience Stores ,,1709 SYLVAN,,RD,SW,,ATLANTA,GA,30310,1709 SYLVAN nan RD ATLANTA GA 30310,"1709 Sylvan Rd SW, Atlanta, Georgia, 30310",-84.418411340759,33.708313793739,True,12,X,sylvan 2023 inc,sylvan food mart,sylvan 2023 inc sylvan food mart
